id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_otro;c_instrumento;c_c001Almacenamiento;c_producto;c_c001Gondola
60f5a988-2e41-4a3c-9bd5-9db7a1122081;2023-02-01 20:15:29.000;2023-02-01 20:15:29.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Pesca Artesanal;
6134d094-92c2-462e-a2e3-ac69755d7b9e;2023-01-18 02:53:30.000;2023-01-18 02:53:30.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;63e63fce-660a-4940-a6fd-b8c144479f01;Menos de 1 día;Maíz;
62c1baaf-f567-4d00-93be-9c1937d91cf0;2023-01-30 16:23:24.000;2023-01-30 16:23:24.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;2541e259-089f-446b-aee1-3f91850e338e;;Plátano;
65ca41aa-fe86-49d5-9c9e-ecccc667f4dd;2023-01-23 19:58:58.000;2023-01-23 19:58:58.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;75a77a9e-c6dc-4522-84e9-5fe00e09498a;Menos de 1 día;Pesca Artesanal;
6766212a-32ae-48d5-961a-ddde418dd208;2023-01-30 03:11:16.000;2023-01-30 03:11:16.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;a5d182ae-570d-42ed-9de0-c39f7b574f4c;Menos de 1 día;Naranja;
7148ba77-1024-4921-873c-e12a099bb781;2023-01-30 16:23:22.000;2023-01-30 16:23:22.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;2541e259-089f-446b-aee1-3f91850e338e;;Maíz;
75acd5ad-7a2c-454e-b75c-0c3b850babba;2023-02-07 14:57:35.000;2023-02-07 14:57:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;ahuyama;a0c53ec3-147d-41c6-b4a1-7527765347ab;Menos de 1 día;;
7b7ec7c8-cbe0-49b3-b2ee-804db67854ce;2023-01-25 23:16:37.000;2023-01-25 23:16:37.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;62914fe0-21a8-40a8-831f-f4779a6917a6;1 a 3 días;Pesca Artesanal;
7fd877f8-dc23-4b1a-afb1-5aa7a57519d9;2023-01-25 16:19:53.000;2023-01-25 16:19:53.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;f4239390-cc41-43fd-97e6-9f5cb9fe8dff;1 a 3 días;Pesca Artesanal;
807393dc-745b-46ae-9721-dc74964bcd39;2023-01-20 15:28:29.000;2023-01-20 15:28:29.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;Yuca;9b883102-4a95-4239-83ef-a8fa5092ad48;Menos de 1 día;;
81e2d6a9-300e-4b5e-a813-2d41dd507816;2023-01-27 13:59:56.000;2023-01-27 13:59:56.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;d88b42e1-c131-4acd-bd95-1866164dd583;Menos de 1 día;Queso;
8313da75-6ed9-492c-b7a8-ec642bb14b47;2023-01-30 15:24:34.000;2023-01-30 15:24:34.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;31938c38-c147-47f7-8003-f3e6726d24ad;1 a 3 días;Pesca Artesanal;
862bd52b-abea-4d52-a7ae-37bf1847268a;2023-01-18 02:53:29.000;2023-01-18 02:53:29.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;yuca;63e63fce-660a-4940-a6fd-b8c144479f01;Menos de 1 día;;
87d48585-1cd8-455e-a637-46498d8e69f0;2023-01-25 15:16:54.000;2023-01-25 15:16:54.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;382f4a35-3f9b-4a3e-ad9a-1623baa26010;Menos de 1 día;Pesca Artesanal;
88e03e48-eb8c-451d-93ed-d5877bb4de12;2023-01-26 01:34:15.000;2023-01-26 01:34:15.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;3b102c73-088e-457f-9dda-6e732b13981b;Menos de 1 día;Pesca Artesanal;
892cd3d0-4299-4d0a-a84a-20c3d305da69;2023-02-07 16:47:33.000;2023-02-07 16:47:33.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;1895e11e-6736-4291-92a9-9fd560ee6f8a;10 a 15 días;Queso;
8bb9501d-0e92-412a-8bfa-4dcb4d0d9088;2023-01-29 17:32:34.000;2023-01-29 17:32:34.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;c8693293-1157-49d9-a825-75fca0b3bb4e;1 a 3 días;Limón;
8cbf705c-7d0a-4801-93d0-6c1ec8ef2de5;2023-01-30 13:32:38.000;2023-01-30 13:32:38.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;26d13cd1-2423-434b-8935-77bb1f056706;1 a 3 días;Queso;
8d339f46-66b9-49bf-bc87-5460ee6f692e;2023-01-19 14:56:35.000;2023-01-19 14:56:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;134770d9-f29b-41f9-abf8-c4e87daef689;Menos de 1 día;Maíz;
919b24a6-a830-4240-bb6f-c8732b4f1615;2023-01-30 15:24:35.000;2023-01-30 15:24:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;31938c38-c147-47f7-8003-f3e6726d24ad;1 a 3 días;Producción acuícola;
93b739fc-dee1-4ec9-89f8-d32aa27a13ea;2023-01-28 03:04:44.000;2023-01-28 03:04:44.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;1d02d4c6-371c-447a-a27b-e2606197ceaf;4 a 5 días;Naranja;
9522bbab-6061-4726-a36c-04bbecce88a2;2023-01-30 17:05:55.000;2023-01-30 17:05:55.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;8947d3e0-ea55-4439-984c-ca6f88706537;1 a 3 días;Yuca;
991da7ca-bc48-44ae-ad42-20064f82ef68;2023-01-25 16:19:52.000;2023-01-25 16:19:52.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;f4239390-cc41-43fd-97e6-9f5cb9fe8dff;Menos de 1 día;Pesca Artesanal;
a8482d7c-ab9c-4b91-b517-fd9312282986;2023-01-27 15:37:46.000;2023-01-27 15:37:46.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;c10452c1-1798-47b4-80cf-49eb4205fa64;Menos de 1 día;Pesca Artesanal;
abb9d677-2467-48c5-a541-70e949634703;2023-02-01 20:15:30.000;2023-02-01 20:15:30.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Café;
ae3aab42-ae83-406f-af1b-c3721bd9f953;2023-01-26 21:49:16.000;2023-01-26 21:49:16.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;a8732097-7ef8-4f48-a6d8-fa46a391bb4d;4 a 5 días;Pesca Artesanal;
b072c98f-b199-4480-9461-97e330bf258a;2023-01-25 18:02:17.000;2023-01-25 18:02:17.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;7c6e5074-c568-4216-9bd4-b90e117362a9;Menos de 1 día;Pesca Artesanal;
